magazine_id,issue_id,issue_label,issue_date_iso,language,form
20,01_0000-01-01,01,0000-01-01,ru,
20,02_1999-12-12,02,1999-12-12,ru,
20,03_2000-02-23,03,2000-02-23,ru,
20,04_2000-03-13,04,2000-03-13,ru,
20,05_2001-12-17,05,2001-12-17,ru,
200,A_1994-08-01,A,1994-08-01,ru,
200,B_1994-10-01,B,1994-10-01,ru,
200,D_1995-07-01,D,1995-07-01,ru,
200,G_1995-05-01,G,1995-05-01,ru,
200,W_1995-01-01,W,1995-01-01,ru,
3Bit,01_2005-01-03,01,2005-01-03,ru,
47th_Byte,01_0000-01-01,01,0000-01-01,ru,
ACNews,01_2001-06-18,01,2001-06-18,ru,
ACNews,02_2001-07-08,02,2001-07-08,ru,
ACNews,03_2001-07-25,03,2001-07-25,ru,
ACNews,04_2001-08-19,04,2001-08-19,ru,
ACNews,05_2001-09-04,05,2001-09-04,ru,
ACNews,06_2001-11-01,06,2001-11-01,ru,
ACNews,07_2002-02-28,07,2002-02-28,ru,
ACNews,08_2002-06-18,08,2002-06-18,ru,
ACNews,09_2002-06-22,09,2002-06-22,ru,
ACNews,10_2002-07-29,10,2002-07-29,ru,
ACNews,11_2002-09-25,11,2002-09-25,ru,
ACNews,12_2002-10-07,12,2002-10-07,ru,
ACNews,13_2002-10-31,13,2002-10-31,ru,
ACNews,14_2002-12-31,14,2002-12-31,ru,
ACNews,15_2003-03-21,15,2003-03-21,ru,
ACNews,16_2003-03-31,16,2003-03-31,ru,
ACNews,17_2003-05-05,17,2003-05-05,ru,
ACNews,18_2003-05-08,18,2003-05-08,ru,
ACNews,19_2003-05-28,19,2003-05-28,ru,
ACNews,20_2003-06-24,20,2003-06-24,ru,
ACNews,21_2003-07-24,21,2003-07-24,ru,
ACNews,22_2003-08-20,22,2003-08-20,ru,
ACNews,23_2003-09-17,23,2003-09-17,ru,
ACNews,24_2003-11-01,24,2003-11-01,ru,
ACNews,25_2003-12-31,25,2003-12-31,ru,
ACNews,26_2004-01-12,26,2004-01-12,ru,
ACNews,27_2004-02-28,27,2004-02-28,ru,
ACNews,28_2004-03-15,28,2004-03-15,ru,
ACNews,29_2004-03-31,29,2004-03-31,ru,
ACNews,30_2004-05-30,30,2004-05-30,ru,
ACNews,31_2004-06-26,31,2004-06-26,ru,
ACNews,32_2004-07-10,32,2004-07-10,ru,
ACNews,33_2004-09-01,33,2004-09-01,ru,
ACNews,34_2004-09-29,34,2004-09-29,ru,
ACNews,35_2004-11-06,35,2004-11-06,ru,
ACNews,37_2004-12-31,37,2004-12-31,ru,
ACNews,38_2005-01-24,38,2005-01-24,ru,
ACNews,39_2005-03-17,39,2005-03-17,ru,
ACNews,40_2005-04-01,40,2005-04-01,ru,
ACNews,41_2005-06-24,41,2005-06-24,ru,
ACNews,42_2005-07-13,42,2005-07-13,ru,
ACNews,43_2005-09-04,43,2005-09-04,ru,
