Fanat 02 - Всё о музыке - Иностранные синглы.
Лучшая Двадцатка Nностранных синглов
   от студии звуко-записи
*POWERFUL SOUND*
на 20.10.1999
-------------------------------
STAY-C PATION       "Blue (Da ьа dee)"                          
HENRY MANCHINI      "The pink panter"                           
NOVETRENTA vs. DJ V "Му love"                                   
CHER                "All ог nothynh"                            
C.C.CATCH           "Soul survivor '98                          
ROXETTE             "Stars"                                     
CELINE DION         "The powerf of love"                        
ТНЕ CRANBERRIES     "Animal instinct"                           
STING               "Mad about you"                             
VENGABOYS           "Воом, boom, boom, boom!!!"                 
7ТН HEAVEN          "Lucid dreams"                              
GEARGE MICHAEL      "Outside"                                   
KYLIE MINOGUE       "Confide in ме"                             
Е-ТУРЕ              "Princess of Egypt"                         
MODERN TALKING      "Don't play with му heart"                  
VALLEY              "То the moon and back"                      
SASH!               "La primavera"                              
PAULA ABDUL         "Rush rush"
MADONNA             "Beautiful stranger"                        
DJ DERO             "Showtime"
------------------------------------------------
