Magazine: 290 | Issues: 1875 | Artikel: 18481
Problematische Magazine: 73

Top 20 problematische Magazine:
- Marazm: status=OK+WARN, issues=25, articles=48, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Plutonium: status=OK+WARN, issues=21, articles=162, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Psychoz: status=OK+WARN, issues=18, articles=268, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Gorodok: status=OK+WARN, issues=15, articles=110, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- MSF: status=OK+WARN, issues=11, articles=292, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Heresy: status=OK+WARN, issues=11, articles=155, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Fantik: status=OK+WARN, issues=7, articles=16, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Bred: status=OK+WARN, issues=6, articles=58, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- 20: status=OK+WARN, issues=5, articles=38, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- WeekEnd: status=OK+WARN, issues=5, articles=35, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Dune: status=OK+WARN, issues=5, articles=27, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Teleshow: status=OK+WARN, issues=5, articles=24, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Funny_Box: status=OK+WARN, issues=5, articles=20, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Dr__Longman_s_News: status=OK+WARN, issues=5, articles=19, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Murzilka: status=OK+WARN, issues=4, articles=63, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Fantadrom: status=OK+WARN, issues=4, articles=44, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Explorer: status=OK+WARN, issues=4, articles=37, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Fuck: status=OK+WARN, issues=4, articles=33, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- Overlog: status=OK+WARN, issues=4, articles=24, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
- ZX_Magazine: status=OK+WARN, issues=3, articles=34, zero=0, missing_articles_dir=0 | Gründe: Validator meldet Warnungen
