magazine,magazine_id,issues,articles,issues_missing_articles_dir,issues_zero_articles,has_mag_listing_json,validator_status,validator_log,problem_reasons
20,2,5,38,0,0,1,OK+WARN,validate_20_20260602_004745.txt,Validator meldet Warnungen
200,3,5,93,0,0,1,OK,validate_200_20260602_004749.txt,
3Bit,4,1,39,0,0,1,OK,validate_3Bit_20260602_004742.txt,
47th_Byte,5,1,8,0,0,1,OK+WARN,validate_47th_Byte_20260602_004741.txt,Validator meldet Warnungen
ACNews,8,72,317,0,0,1,OK,validate_ACNews_20260602_004751.txt,
Adventurer,9,15,551,0,0,1,OK,validate_Adventurer_20260602_004745.txt,
All_Paper,10,1,9,0,0,1,OK+WARN,validate_All_Paper_20260602_004749.txt,Validator meldet Warnungen
Always,11,3,21,0,0,1,OK,validate_Always_20260602_004744.txt,
Amazing,12,2,42,0,0,1,OK,validate_Amazing_20260602_004746.txt,
Amiga_Info,13,2,12,0,0,1,OK,validate_Amiga_Info_20260602_004750.txt,
Amiga_News,306,2,23,0,0,1,OK,validate_Amiga_News_20260602_004750.txt,
Amigoz,15,3,20,0,0,1,OK,validate_Amigoz_20260602_004744.txt,
Anecdotes,325,1,10,0,0,1,OK,validate_Anecdotes_20260602_004746.txt,
Anigdot,16,19,24,0,0,1,OK,validate_Anigdot_20260602_004742.txt,
Anti-Top,17,1,15,0,0,1,OK,validate_Anti-Top_20260602_004749.txt,
Antivel,18,1,17,0,0,1,OK,validate_Antivel_20260602_004740.txt,
Aspect,19,10,90,0,0,1,OK,validate_Aspect_20260602_004749.txt,
Avro_News,20,5,23,0,0,1,OK,validate_Avro_News_20260602_004745.txt,
BBSTOP,24,0,0,0,0,1,OK+WARN,validate_BBSTOP_20260602_004751.txt,Validator meldet Warnungen | Magazin ohne Issues
Baltic_Press,22,1,10,0,0,1,OK,validate_Baltic_Press_20260602_004745.txt,
Batva,23,0,0,0,0,1,OK+WARN,validate_Batva_20260602_004751.txt,Validator meldet Warnungen | Magazin ohne Issues
Best_of,25,3,8,0,0,1,OK+WARN,validate_Best_of_20260602_004749.txt,Validator meldet Warnungen
Black_Crow,26,7,168,0,0,1,OK,validate_Black_Crow_20260602_004748.txt,
Black_Metall,27,4,45,0,0,1,OK,validate_Black_Metall_20260602_004747.txt,
Body,28,69,576,0,0,1,OK,validate_Body_20260602_004745.txt,
Bonus,29,5,35,0,0,1,OK,validate_Bonus_20260602_004741.txt,
Book,30,2,31,0,0,1,OK,validate_Book_20260602_004748.txt,
Born_Dead,31,17,165,0,0,1,OK,validate_Born_Dead_20260602_004743.txt,
Bred,305,6,58,0,0,1,OK+WARN,validate_Bred_20260602_004744.txt,Validator meldet Warnungen
Breeze,33,3,24,0,0,1,OK,validate_Breeze_20260602_004749.txt,
Bugs,34,2,28,0,0,1,OK,validate_Bugs_20260602_004745.txt,
Buhenvald,35,3,26,0,0,1,OK,validate_Buhenvald_20260602_004746.txt,
Burn_the_Lighter,307,4,26,0,0,1,OK,validate_Burn_the_Lighter_20260602_004751.txt,
Buzz,36,20,296,0,0,1,OK,validate_Buzz_20260602_004750.txt,
CAFe_2003,337,0,0,0,0,1,OK+WARN,validate_CAFe_2003_20260602_004741.txt,Validator meldet Warnungen | Magazin ohne Issues
Cancer,37,2,21,0,0,1,OK+WARN,validate_Cancer_20260602_004747.txt,Validator meldet Warnungen
Chaos,38,1,13,0,0,1,OK,validate_Chaos_20260602_004751.txt,
Cheat,39,3,15,0,0,1,OK,validate_Cheat_20260602_004746.txt,
Chudo,40,1,9,0,0,1,OK+WARN,validate_Chudo_20260602_004748.txt,Validator meldet Warnungen
City,42,55,407,0,0,1,OK,validate_City_20260602_004742.txt,
Clime,43,3,27,0,0,1,OK,validate_Clime_20260602_004741.txt,
Codemania,309,1,7,0,0,1,OK,validate_Codemania_20260602_004742.txt,
Cossackos,44,0,0,0,0,1,OK+WARN,validate_Cossackos_20260602_004744.txt,Validator meldet Warnungen | Magazin ohne Issues
Crazy_News,308,5,22,0,0,1,OK,validate_Crazy_News_20260602_004744.txt,
Crossroads,45,3,32,0,0,1,OK,validate_Crossroads_20260602_004751.txt,
Crystal_Dream,46,1,15,0,0,1,OK,validate_Crystal_Dream_20260602_004746.txt,
CyberSex,49,2,52,0,0,1,OK,validate_CyberSex_20260602_004748.txt,
Cyberman,48,4,26,0,0,1,OK,validate_Cyberman_20260602_004751.txt,
Deja_Vu,50,12,352,0,0,1,OK,validate_Deja_Vu_20260602_004741.txt,
Demo_or_Die,51,2,41,0,0,1,OK,validate_Demo_or_Die_20260602_004740.txt,
Depress,52,3,8,0,0,1,OK,validate_Depress_20260602_004751.txt,
Depth,53,3,61,0,0,1,OK,validate_Depth_20260602_004743.txt,
Dermo,54,1,14,0,0,1,OK+WARN,validate_Dermo_20260602_004746.txt,Validator meldet Warnungen
Di_Halt,55,1,24,0,0,1,OK,validate_Di_Halt_20260602_004750.txt,
Dni-Pro,57,2,24,0,0,1,OK,validate_Dni-Pro_20260602_004745.txt,
Dnieprobite,56,4,39,0,0,1,OK,validate_Dnieprobite_20260602_004747.txt,
DonNews,58,21,192,0,0,1,OK,validate_DonNews_20260602_004740.txt,
Dr__Longman_s_News,59,5,19,0,0,1,OK+WARN,validate_Dr__Longman_s_News_20260602_004744.txt,Validator meldet Warnungen
Du_Hast,60,1,10,0,0,1,OK,validate_Du_Hast_20260602_004743.txt,
Dune,61,5,27,0,0,1,OK+WARN,validate_Dune_20260602_004743.txt,Validator meldet Warnungen
EMSlog,65,1,8,0,0,1,OK,validate_EMSlog_20260602_004750.txt,
Echo,63,7,134,0,0,1,OK,validate_Echo_20260602_004742.txt,
Eldorado,64,2,23,0,0,1,OK,validate_Eldorado_20260602_004750.txt,
Electra,330,0,0,0,0,1,OK+WARN,validate_Electra_20260602_004742.txt,Validator meldet Warnungen | Magazin ohne Issues
Emulate,66,7,92,0,0,1,OK,validate_Emulate_20260602_004743.txt,
Energy,67,12,117,0,0,1,OK,validate_Energy_20260602_004743.txt,
Enigma_Tape_Magazine,324,0,0,0,0,1,OK+WARN,validate_Enigma_Tape_Magazine_20260602_004741.txt,Validator meldet Warnungen | Magazin ohne Issues
Erotic,68,24,77,0,0,1,OK,validate_Erotic_20260602_004743.txt,
Explorer,69,4,37,0,0,1,OK+WARN,validate_Explorer_20260602_004746.txt,Validator meldet Warnungen
Fanat,70,2,46,0,0,1,OK,validate_Fanat_20260602_004750.txt,
Fanat_Newspaper,71,3,29,0,0,1,OK,validate_Fanat_Newspaper_20260602_004748.txt,
Fantadrom,72,4,44,0,0,1,OK+WARN,validate_Fantadrom_20260602_004744.txt,Validator meldet Warnungen
Fantastic,73,0,0,0,0,1,OK+WARN,validate_Fantastic_20260602_004742.txt,Validator meldet Warnungen | Magazin ohne Issues
Fantasy,328,0,0,0,0,1,OK+WARN,validate_Fantasy_20260602_004751.txt,Validator meldet Warnungen | Magazin ohne Issues
Fantik,74,7,16,0,0,1,OK+WARN,validate_Fantik_20260602_004749.txt,Validator meldet Warnungen
Fantom,75,2,21,0,0,1,OK,validate_Fantom_20260602_004743.txt,
Faultless,76,8,135,0,0,1,OK,validate_Faultless_20260602_004749.txt,
Fenzin,77,0,0,0,0,1,OK+WARN,validate_Fenzin_20260602_004746.txt,Validator meldet Warnungen | Magazin ohne Issues
Fisherman_Press,78,1,10,0,0,1,OK,validate_Fisherman_Press_20260602_004746.txt,
Flash_Info,79,19,109,0,0,1,OK,validate_Flash_Info_20260602_004750.txt,
Flash_Time,80,1,34,0,0,1,OK,validate_Flash_Time_20260602_004751.txt,
Foolishness,82,1,9,0,0,1,OK,validate_Foolishness_20260602_004748.txt,
Forever_Young,83,1,15,0,0,1,OK,validate_Forever_Young_20260602_004742.txt,
Fuck,84,4,33,0,0,1,OK+WARN,validate_Fuck_20260602_004746.txt,Validator meldet Warnungen
Full_Pull,85,10,112,0,0,1,OK,validate_Full_Pull_20260602_004743.txt,
Funeral,86,2,68,0,0,1,OK,validate_Funeral_20260602_004749.txt,
Funny_Box,87,5,20,0,0,1,OK+WARN,validate_Funny_Box_20260602_004743.txt,Validator meldet Warnungen
Funny_Night,88,0,0,0,0,1,OK+WARN,validate_Funny_Night_20260602_004743.txt,Validator meldet Warnungen | Magazin ohne Issues
GMS_News,329,3,8,0,0,1,OK+WARN,validate_GMS_News_20260602_004749.txt,Validator meldet Warnungen
Generation_Z,89,8,141,0,0,1,OK,validate_Generation_Z_20260602_004740.txt,
Gluk,90,1,16,0,0,1,OK,validate_Gluk_20260602_004741.txt,
Gomel_ZX-Net_News,91,1,8,0,0,1,OK,validate_Gomel_ZX-Net_News_20260602_004747.txt,
Gorodok,92,15,110,0,0,1,OK+WARN,validate_Gorodok_20260602_004750.txt,Validator meldet Warnungen
Gothiq,93,1,32,0,0,1,OK,validate_Gothiq_20260602_004750.txt,
Heresy,95,11,155,0,0,1,OK+WARN,validate_Heresy_20260602_004747.txt,Validator meldet Warnungen
Hobby,96,1,31,0,0,1,OK,validate_Hobby_20260602_004745.txt,
Hooy_Mag,332,0,0,0,0,1,OK+WARN,validate_Hooy_Mag_20260602_004751.txt,Validator meldet Warnungen | Magazin ohne Issues
Horror,97,6,11,0,0,1,OK,validate_Horror_20260602_004746.txt,
Humor_in_Exchange,98,2,9,0,0,1,OK,validate_Humor_in_Exchange_20260602_004743.txt,
